0,0_label,1,1_label,2,2_label,3,3_label,4,4_label
"PersonX be real, thus as an result, PersonY argue PersonZ about it",1,"PersonX prevent, thus as an result, PersonY yell at PersonX",1,"PersonX tell PersonY apart, thus as an result, PersonY speak to PersonX",1,"PersonX deny PersonY, thus as an result, PersonY ask PersonZ",1,"PersonX grab PersonY shoulder, thus as an result, PersonY yell at x.",1
"PersonX steal it, thus as an result, PersonY see",1,"PersonX ride in that, thus as an result, PersonY steal something from PersonX",1,"PersonX hide from PersonY, thus as an result, PersonY find PersonX",1,"PersonX notice, thus as an result, PersonY have steal that",1,"PersonX take something, thus as an result, PersonY could not find that",1
"PersonX take PersonY out there, thus as an result, PersonY do not want to fight PersonX",0,"PersonY try to leave, thus as an result, PeopleX do not trust PersonX",0,"PersonX go see PersonY, thus as an result, PeopleX be reject",1,"PersonX turn PersonY loose, thus as an result, PersonX do not like to do it",0,"PersonY look back, thus as an result, PersonY cant be around PersonX",0
"PersonX have to make, thus as an result, PersonX send PersonY something",0,"PersonX ask PersonY for that, thus as an result, PersonY have to make something",1,"PersonX want that, thus as an result, PersonY make something",1,"PersonX give PersonY that, thus as an result, PersonY make something",1,"PersonX need help do, thus as an result, PersonX ensure PersonY 's success",0
"PersonX provide PersonY indication, thus as an result, PersonY must respond message indication",1,"PersonX ask it to PersonY, thus as an result, PersonY respond",1,"PersonX decide to call PersonY, thus as an result, PersonY receive the call",1,"PersonX send PersonY a message, thus as an result, PersonY respond to message",1,"PersonX ask PersonY about something, thus as an result, PersonY say something",1
"PersonX ask PersonY do something, thus as an result, PersonY accept to do something",1,"PersonX rid PersonX 's skateboard, thus as an result, PersonY volunteer to help PersonX",0,"PersonX have be work on that, thus as an result, PersonY decide to help PersonX",0,"PersonX ask for something, thus as an result, PersonY try to do something",1,"PersonX ask friend, thus as an result, PersonY try to help",1
"PersonX lose PersonY job, thus as an result, PersonY go away from PersonX",1,"PersonX warn, thus as an result, PersonY leave for work",1,"PersonX head to work, thus as an result, PersonY get",1,"PersonX go to work, thus as an result, PersonY give PersonX a order",1,"PersonX head to work, thus as an result, PersonX attain PersonY 's object",0
"PersonX look at PersonY, thus as an result, PersonY look back",1,"PersonY hit PersonX with something, thus as an result, PersonX look for mirror",0,"PersonX see PersonY, thus as an result, PersonY see PersonX",1,"PersonX mention PersonY name, thus as an result, PersonY look at PersonX",1,"PersonX drop PersonY, thus as an result, PersonY be able to PersonX",0
"PersonX cancel PersonY 's trip, thus as an result, PersonY be frustrated",1,"PersonX send PersonY on way, thus as an result, PersonY stop",1,"PersonX cross PersonY path, thus as an result, PeopleX stop",1,"PersonX deny PersonY access, thus as an result, PersonY go without place",1,"PersonX decide not to go, thus as an result, PersonY call PersonX",1
"PersonX run away from PersonY, thus as an result, PersonY catch PersonX",1,"PersonY come back to life, thus as an result, PersonX run down it",0,"PersonX send PersonY home, thus as an result, PersonY chase",0,"PersonY run to PersonZ, thus as an result, PersonX see PersonY for time",0,"PersonX chase PersonY, thus as an result, PersonY run away",1
