head,tail,relation,dataset,label,assertion,assertion_tq
PersonX buy the guitar,PersonX need to pick out guitar,xNeed,atomic,1,The event PersonX buy the guitar will not happen unless PersonX pick out guitar,"If PersonX buy the guitar, but before, PersonX needed, PersonX need to pick out guitar"
person x girlfriend be allergic to dog,PeopleX mother will not let PersonX,HinderedBy,atomic2020,0,"The event person x girlfriend be allergic to dog will not happen, if PeopleX mother will not let PersonX","If person x girlfriend be allergic to dog, can be hindered by, PeopleX mother will not let PersonX"
PersonX want to hang out,PersonY be happy,oReact,atomic,1,"PersonX want to hang out, thus as a result on PersonY's emotion, PersonY feel PersonY be happy","If PersonX want to hang out, as a result, PersonY or others feel, PersonY be happy"
PersonX wreck up,PersonX hurt hand,HasSubEvent,cn,0,The event PersonX wreck up includes the event/action that PersonX hurt hand,"If PersonX wreck up, includes the event or action, PersonX hurt hand"
PersonY 's parent have be kidnap,PersonX find PersonY parent,HinderedBy,atomic2020,0,"The event PersonY 's parent have be kidnap will not happen, if PersonX find PersonY parent","If PersonY 's parent have be kidnap, can be hindered by, PersonX find PersonY parent"
PersonX get bigger,PersonX resume PersonX position,xReact,atomic,0,"PersonX get bigger, thus as a result on PersonX's emotion, PersonX resume PersonX position","If PersonX get bigger, as a result, PersonX feels, PersonX resume PersonX position"
PersonX earn PersonY the nickname,PersonX need to be with PersonY,xNeed,atomic,1,The event PersonX earn PersonY the nickname will not happen unless PersonX be with PersonY,"If PersonX earn PersonY the nickname, but before, PersonX needed, PersonX need to be with PersonY"
PersonY get it for PersonX,PersonX be go to find out it,xEffect,glucose,0,"PersonY get it for PersonX, thus as an result, PersonX be go to find out it","If PersonY get it for PersonX, as a result, PersonX will, PersonX be go to find out it"
PeopleX need sleep,everything be okay,xWant,atomic,0,"PeopleX need sleep, thus, PersonX want everything be okay","If PeopleX need sleep, as a result, PersonX wants to, everything be okay"
PersonX send PersonY 's son,PersonX help the people,xIntent,atomic,1,"PersonX send PersonY 's son, thus it can be seen about PersonX's intention that PersonX help the people","If PersonX send PersonY 's son, because PersonX wanted, PersonX help the people"
PersonX make PersonY example,PersonX hit PersonY in face,xNeed,atomic,0,The event PersonX make PersonY example will not happen unless PersonX hit PersonY in face,"If PersonX make PersonY example, but before, PersonX needed, PersonX hit PersonY in face"
PersonX get sick,PersonX do not feel well,xEffect,glucose,1,"PersonX get sick, thus as an result, PersonX do not feel well","If PersonX get sick, as a result, PersonX will, PersonX do not feel well"
PersonX maximize PersonY 's profit,PersonY achieve fame,oEffect,atomic,1,"PersonX maximize PersonY 's profit, thus as an result, PersonY achieve fame","If PersonX maximize PersonY 's profit, as a result, PersonY or others will, PersonY achieve fame"
