0,0_label,1,1_label,2,2_label,3,3_label,4,4_label,0_tq,0_tq_label,1_tq,1_tq_label,2_tq,2_tq_label,3_tq,3_tq_label,4_tq,4_tq_label,5,5_label,6,6_label,7,7_label,8,8_label,9,9_label
"PersonX learn the piano, thus as a result on PersonX's emotion, PersonX feel PersonX be proud",1,"PersonX need to buy a new car, thus as a result on PersonX's emotion, PersonX have a baby",0,"PersonX return to classroom, thus it can be seen about PersonX's attribute that PersonX be dependable",1,"PeopleX take something, thus as an result, PersonX find something",1,The event PersonX need to have PersonX own seat will not happen unless PersonX search for deal,0,"If it work out, as a result, PersonX wants to, PersonX work immediately",0,"If PersonY be meaningful, PersonX is seen as, PersonX drink a beer",0,"If PersonX want to enjoy more of life, as a result, PersonX wants to, PersonX want to hang award on wall",0,"If PersonX come unto thee, PersonX is seen as, PersonX be pure",1,"If PersonX call PersonY girlfriend, as a result, PersonX wants to, PersonX want to tell the girlfriend something",1,"PersonX get PersonX thing together, thus it can be seen about PersonX's attribute that PersonX be helpful",1,"PersonX invite PersonY to lunch, thus, PersonY want PersonX be a leader",0,"PersonX catch, thus as a result on PersonY's emotion, PersonY feel PersonY be fluster",1,"PersonX break PersonX glass, thus as a result on PersonX's emotion, PersonX feel PersonX be ashamed",1,The event PersonX need to set plan will not happen unless PersonX know about it,0
"PersonX want to wash everything in house, thus, PersonX want to make edit",0,"PersonX turn PersonY body, thus, PersonX want to say sorry",1,"After PersonX start choke, PersonX begin to snow",0,"Because PersonX go home, PersonX prepare it for PeopleX",0,"The event PersonX take PersonX 's family to beach will not happen, if PersonX do not live near beach",1,"If PersonY want to be muscular, as a result, PersonY or others want to, PersonY want to show PersonZ PersonZ performance",0,"If PersonX slip PersonY 's arm, can be hindered by, PersonX have to play PersonY 's mind game",1,"If PersonX get the gift wrap, as a result, PersonX will, PersonX buy PersonY",0,"If PersonX produce PersonY number, PersonX is seen as, PersonX pay the freight",0,"If PersonX get sting, as a result, PersonX feels, PersonX oversleep",0,"PersonX pull PersonY to safety, thus as a result on PersonY's emotion, PersonY feel PersonY be thankful",1,"PersonX ace PersonX interview, thus it can be seen about PersonX's intention that PersonX intent to PeopleX want a new job",1,"After PersonX meet PersonX teacher, PersonX ask for help",1,"PersonX present PersonY image, thus it can be seen about PersonX's intention that PersonX show off PeopleX picture",1,"PersonX come near PersonY, thus, PersonX want to talk to PersonY",1
"PersonX love to cook, thus as a result on PersonX's emotion, PersonX feel happy",1,"The event PersonX get dizzy will not happen, if no amount will give PeopleX vertigo",1,"PersonX rub PersonY 's eye, thus as a result on PersonY's emotion, PersonY feel PersonY be grateful",1,"PersonX show PersonY 's appreciation, thus, PersonY want to celebrate",1,"PersonX cuddle it, thus as a result on PersonY's emotion, PersonX be deliver day",0,"If PersonX get PeopleX sink repair, happens before, PersonX get yell at PersonY",0,"If PersonX be a substitute teacher, can be hindered by, PersonX need to get a credential first",1,"If PersonX rush to work, as a result, PersonX will, PersonX come on PersonY",0,"If PersonX call PersonY into office, can be hindered by, PersonX be busy with client",1,"If PeopleX mate, as a result, PersonX will, PeopleX have baby",1,The event PersonX go to competition will not happen unless PersonX put sunscreen on PersonY,0,"The event PersonX 's school do not offer music curriculum will not happen, if persony be not home to receive the food",0,"PersonX take PersonY examination, thus as an result, PersonY fail",1,"PersonX miss PersonX parent, thus as an result, PeopleX think good time with family",1,"PersonX work out PersonX salvation, thus it can be seen about PersonX's intention that PersonX cause PersonY damage",0
"PersonX become stronger, thus, PersonX want to enter competition",1,The event PersonX go around PersonY will not happen unless PersonX sneak near PersonY,1,"PersonX see PersonY cry, thus it can be seen about PersonX's intention that PersonX consult a person on matter",0,"PersonX cut a figure, thus, PersonX want to wash PeopleX cut tool",1,"Because PersonX have drum, PersonX to sit down",0,"If PersonX have something of value, but before, PersonX needed, PersonX make",0,"If where PeopleX dog be, as a result, PersonY or others want to, PersonX buy gift for family",0,"If PersonX increase bank account fund, as a result, PersonX will, PersonX take PersonY 's money",0,"If PersonX use PersonY hand, as a result, PersonX wants to, PersonX want to be careful",1,"If PersonX buy a new guitar, happens after, PersonX play guitar",0,The event PersonX need to let will not happen unless PersonX spend PersonY time,0,"The event PersonX make PersonX bed will not happen, if PersonX have no time",1,"Before PersonX stop PersonY in track, PersonX get a new pay job",0,"PersonX like PersonY back, thus, PersonY want to be in a relationship",1,"PersonX turn to face PersonY, thus it can be seen about PersonX's attribute that PersonX be considerate",1
"PersonX het surprised, thus it can be seen about PersonX's intention that PersonX cut a wide swath",0,"PersonX use coconut oil, thus it can be seen about PersonX's attribute that PersonX be moisturize",1,"PersonX burn to crisp, thus it can be seen about PersonX's attribute that PersonX lose PersonX son",0,"PersonX lock PersonX key in car, thus as an result, PersonX yell in frustration",1,"PersonX slip on that, thus as an result, PersonX fall into that",1,"If PersonX 's doctor tell PersonX to self-quarantine, can be hindered by, PersonY eat it already",0,"If PersonX occur at PersonY, as a result, PersonY or others feel, PersonY be happy",1,"If PersonX rent movie, but before, PersonX needed, PersonX need to decide on form",1,"If PersonX pull PersonY into hug, but before, PersonX needed, PersonX need to listen",1,"If PersonX really hit it, PersonX is seen as, PersonX be angry",1,"PersonX adopt a child, thus it can be seen about PersonX's intention that PersonX feel love",1,"PersonX hang the picture, thus, PersonX want to show off PersonY work",1,"PersonX keep cry, thus as a result on PersonY's emotion, PersonX be late for work",0,"The event PersonX fight a lot will not happen, if the recipe would be ruin",0,"PersonX drive to work one morning, thus it can be seen about PersonX's attribute that PersonX be prompt",1
"jet set, thus as an result, PersonX meet new people",1,"Because PersonX be at home, PersonX go to bed",1,"PersonX play videogame, thus, PersonX want to turn off the video game",1,"PersonX give PersonY another chance, thus as an result, PersonX leave happy",0,"Because PersonX have it, PersonY sneak it",1,"If PersonX nuzzle PersonY 's neck, as a result, PersonX wants to, PersonX want to kiss PersonY",1,"If PersonX decide to move, as a result, PersonX will, PersonX move",1,"If PersonX give PersonY battle, as a result, PersonY or others feel, PersonY be jealous of PersonY",0,"If PersonX lose every game, as a result, PersonY or others feel, PersonY be sad",1,"If PersonX give it PersonX best shot, because PersonX wanted, PersonX have the best outcome",1,"PersonX have blood on hand, thus as a result on PersonX's emotion, PersonX feel PersonX be disappointed",1,"PersonX be not burden, thus as an result, PersonX eye something",0,"After PersonX hand, PersonX stand over PersonY",1,"PersonX can not drink, thus as a result on PersonX's emotion, PersonX feel PersonX be emotionally unstable",0,"PersonX see, thus, PersonX want to pet",1
"PersonX put the cookie, thus it can be seen about PersonX's attribute that PersonX be care",1,"The event PersonX spend some time with PersonY will not happen, if PersonX therapist help with phobia",0,"PersonX look forward to PersonY, thus it can be seen about PersonX's attribute that PersonX completely forget",0,"The event PersonX stand in shoe will not happen, if PeopleX be too small",1,"PersonY pay, thus as an result, PersonY break finger",0,"If PersonX do not want to yawn in public, can be hindered by, PersonX be just a assistant",0,"If PersonX work out PersonX salvation, but before, PersonX needed, PersonX need to exploration",1,"If PersonY PeopleX like, because PersonX wanted, PersonX support PersonY 's view",0,"If PersonX remove PersonY from office, as a result, PersonX wants to, PersonX want to run for office",1,"If PersonX be convict, PersonX is seen as, PersonX earn PersonX bread",0,"PersonX frighten PersonY away, thus, PersonY want to hide from PersonX",1,"The event person y beat PeopleX up will not happen, if PersonX be on a bus",0,"PersonX leave PersonY mom, thus it can be seen about PersonX's intention that PersonX show appreciation for persony",0,"PersonX ruffle PersonY feather, thus it can be seen about PersonX's attribute that PersonX be rude",1,"The event PersonX start PersonX business will not happen, if PersonX be too busy",1
"PersonX longer want, thus it can be seen about PersonX's intention that PersonX make a sale",0,"PersonX roll up PersonY sleeve, thus it can be seen about PersonX's intention that PersonX help",1,"PersonX pour PersonY a glass, thus as an result, PersonX cost PersonY money",1,"Because PersonX be cook it, it be in the trash",1,"PersonX stay with mom, thus it can be seen about PersonX's intention that PersonX sleep somewhere",1,"If PersonX have ski, causes, PersonX go skiing",1,"If PersonX get a great deal, PersonX is seen as, PersonX sit back in chair",0,"If PersonX eat the food, as a result, PersonX will, PersonX take care 0f PeopleX health",1,"If PersonX do not have anyone, as a result, PersonX wants to, PersonX speak PersonY well",0,"If PersonX stop PersonY in track, but before, PersonX needed, PersonX see PersonY run",1,"PersonX gain energy, thus it can be seen about PersonX's intention that PersonX know person better",0,"PersonX give PersonY PersonX attention, thus as an result, PersonY start screem",1,"The event PeopleX do not kniw will not happen, if PersonX have bad taste in fashion",0,"PersonX be draw to book, thus, PersonX want to have be",1,"Because PersonX be at PersonY birthday party, PersonY keep it up there",0
"Because PersonX be excite for it, PersonX have that",1,"PersonY take the first step, thus as an result, PersonX find the door lock",0,"PersonX want to enroll fo dance competition, thus, PersonX want to jump away",0,"PersonX cut PersonY 's throat, thus as a result on PersonX's emotion, PersonX feel PersonX be evil",1,"PersonX go swim instead, thus, PersonX want to swim",1,"If PersonX want to shop for desk, as a result, PersonX wants to, PersonX play basketball at park",0,"If PersonX look for one, as a result, PersonX will, PersonX have less envelope",0,"If PersonY be focus, as a result, PersonY or others feel, PersonX cause a accident",0,"If PersonX pay the rent for house, as a result, PersonX wants to, PersonX use PersonY computer",0,"If PersonX play great, as a result, PersonX will, PersonX go to school day",0,"PersonX go to get something, thus as an result, PersonX see that",1,"PersonX cut PersonY 's arm, thus, PersonY want PersonY family will suffer",0,"PersonX quit that, thus as an result, PersonX rue day",0,"PersonX dig PersonY 's nail into chest, thus as an result, PersonX scream in joy",1,"PersonX want work to boss, thus, PersonX want to put on effort",0
"PersonX get a standing ovation, thus as an result, PersonX regularly do that",0,"The event PersonX fill PersonY shoe will not happen, if person x can not provide enough information for y",0,"PersonX want to be a dancer, thus as an result, PersonX get workout",1,"PersonX be bad, thus as a result on PersonX's emotion, PersonX find out about child",0,"PersonY answer the door, thus, PersonY want to groom themselves",0,"If PersonX try to reassure PersonY, PersonX is seen as, PersonX be care",1,"If PersonX pay attention, but before, PersonX needed, PersonX drink some coffee",1,"If PersonX 's mother sell the family piano, can be hindered by, the teacher forget to pass out the worksheet",0,"If PersonX follow PersonY everywhere, as a result, PersonY or others want to, PersonY want to talk to PersonX",1,"If PersonX want to fight PersonY, as a result, PersonY or others will, PeopleX get a black eye",1,The event PersonX sink to knee will not happen unless PersonX walk to PersonY,1,"PersonX be a blabbermouth, thus it can be seen about PersonX's attribute that PersonX be fasting",0,The event PersonX learn construction will not happen unless PersonX make oatmeal,0,"PersonX hit the high note, thus as an result, PersonX nail the song",1,"PersonX attend a concert, thus as a result on PersonX's emotion, PersonX feel PersonX be excite",1
