0_tq,0_tq_label,1_tq,1_tq_label,2_tq,2_tq_label,3_tq,3_tq_label,4_tq,4_tq_label
"If PersonX wave PersonY away, as a result, PersonX will, PersonY roll PersonZ eye",1,"If PersonX chase PersonZ away, as a result, PersonX will, PersonY lose friend",1,"If PersonX be nowhere, can be hindered by, PersonX friend will not keep PersonY",1,"If PersonX regain PersonY 's composure, can be hindered by, PersonY be disown personx",1,"If PersonX push PersonY back, as a result, PersonY or others will, PeopleX step back from PersonX",1
"If PersonX hide from PersonY, as a result, PersonY or others will, PersonY find PersonX",1,"If PersonX steal it, as a result, PersonY or others will, PersonY see",1,"If PersonX notice, as a result, PersonY or others will, PersonY have steal that",1,"If PersonY stay true, as a result, PersonY or others will, PersonX grab PeopleX",0,"If PeopleX steal it from PeopleX, as a result, PersonX will, PersonX track something",0
"If PersonX go see PersonY, as a result, PersonY or others will, PeopleX be reject",1,"If PersonX decide to do something, as a result, PersonY or others will, PersonY do not allow PersonX do something",1,"If PersonX send PersonY on way, as a result, PersonY or others will, PersonY stop",1,"If PersonX do something, as a result, PersonY or others will, PersonX never do that again",1,"If PersonX cross PersonY path, as a result, PersonY or others will, PeopleX stop",1
"If PersonX get PersonX stuff together, as a result, PersonY or others want to, PersonY want to get the stuff",1,"If PeopleX could get something, as a result, PersonY or others will, PersonY find that",1,"If PersonX bring PersonY forth, as a result, PersonX wants to, PersonX want to make",1,"If PersonX want that, as a result, PersonY or others will, PersonY make something",1,"If PersonX have that, as a result, PersonY or others want to, PersonX ask for something",0
"If PersonX send a message, as a result, PersonY or others will, PersonX have to respond",1,"If PersonX provide PersonY indication, as a result, PersonY or others will, PersonY must respond message indication",1,"If PersonX send PersonY a message, as a result, PersonY or others will, PersonY respond to message",1,"If PersonX speak unto PersonY, as a result, PersonY or others want to, PersonY want to respond",1,"If PersonX drop PersonY a line, as a result, PersonY or others want to, PersonY want to reply to PersonX",1
"If PersonX ask PersonY do something, as a result, PersonY or others will, PersonY accept to do something",1,"If PersonX have be work on that, as a result, PersonY or others will, PersonY decide to help PersonX",0,"If PersonX want to do that, as a result, PersonX will, PersonX volunteer to do something",1,"If PersonX send PersonX friend, as a result, PersonY or others feel, PersonY obligate to help",1,"If PersonX render PersonY assistance, as a result, PersonY or others want to, PersonY help",1
"If PersonX do PersonY 's work well, as a result, PersonY or others will, PersonY demote",1,"If PersonX move back, as a result, PersonY or others will, PersonX quit PersonX job",0,"If PersonX quit PersonX job, as a result, PersonX will, PersonX get sack",1,"If PersonX lose PersonY job, as a result, PersonY or others will, PersonY go away from PersonX",1,"If PersonX be find, as a result, PersonX will, PersonX get fire from job",0
"If PersonX see PersonY, as a result, PersonY or others will, PersonY see PersonX",1,"If PersonX focus PersonY 's attention, as a result, PersonY or others will, PersonY have to look",1,"If PersonX see PersonY for time, as a result, PersonY or others will, PersonY look back",1,"If PersonX fall many time, as a result, PersonX will, PersonX be stare at it",0,"If PersonX mention PersonY name, as a result, PersonY or others will, PersonY look at PersonX",1
"If PersonX cancel PersonY 's trip, as a result, PersonY or others feel, PeopleX can not go on trip",1,"If PersonX bear PersonY 's share, as a result, PersonY or others feel, PeopleX can not go on trip",0,"If PersonX play it everyday, as a result, PersonY or others feel, PersonX cancel PersonY 's trip",0,"If person x have no ingredient, can be hindered by, PersonY will not agree to go",0,"If PersonY lose a game, as a result, PersonY or others will, PersonX decide not to go",0
"If PersonX receive a gift from PersonY, as a result, PersonX will, PersonX run back",0,"If PersonX chase PersonY, as a result, PersonY or others will, PersonY run away",1,"If PersonX give PersonY a, as a result, PersonY or others will, PersonY run away from personx",1,"If PersonX send PersonY home, as a result, PersonY or others will, PersonY chase",0,"If PersonX be chase, as a result, PersonX will, PersonX run past PersonY",0
