head,relation,tail,label,do_satisfy_typing_constraint_gold_label,davinci_naive_prompt3,davinci_moe_q1_prompt1,randomcot_chatgpt_prompt3
PersonX love hear,xReact,PersonX be still wait for sale,0,0,0,1,0
PersonX have get to hook,xReact,PersonX run the chance,0,0,0,0,0
PersonX can lead PeopleX right,xReact,PersonX know the trick,0,0,1,1,0
PersonX improve yourself,xReact,PersonX be really worried,0,1,1,1,0
PersonX feel sad,xReact,PersonX be down blue,1,1,0,1,0
PersonX be secure in masculinity,xReact,PersonX can answer a hypothetical,0,0,0,0,0
PersonX want to hurt PersonY,xReact,PersonX just bail on tonight,0,0,0,0,0
PersonX could live on side,xReact,PersonX move here,0,0,0,0,0
PersonX be send back,xReact,PersonX father demand,0,0,0,1,0
PersonX be walk along beach,xReact,PersonX be satisfied,1,1,1,1,1
PersonX just want to play with sr1mp,xReact,PersonX can buy it,0,0,0,0,0
PersonX follow the recipe exactly,xReact,PersonX be satisfied,1,1,1,1,1
PersonX should try it especially,xReact,PersonX have several hour,0,0,0,0,0
PersonX divorce PersonX wife,xReact,PersonX love june,0,1,0,0,0
PersonX find PersonY channel,xReact,PersonX understand better,0,0,1,1,1
PersonX quit day,xReact,PersonX should pick up smoking,0,1,0,1,0
PersonX decide to order a pizza,xReact,PersonX have just move,0,0,0,0,0
PersonX be not,xReact,PersonX just get sick,0,0,0,1,0
PersonX mock PersonY,xReact,PersonX be in earnest,0,0,0,1,0
PersonX can take PersonY back,xReact,PersonX will have a place of own,0,0,1,1,0
PersonX give PersonY the courage,xReact,PersonX be good,1,1,1,1,0
PersonX be embolden,xReact,PeopleX be party,0,0,0,0,0
PersonX meet PersonX father,xReact,PersonX get out prison,0,0,0,0,0
PersonX borrow some money,xReact,PersonX could not pay it back,0,0,0,1,0
PersonX put it in purse,xReact,PersonX get back something,0,0,0,0,0
PersonX visit usa,xReact,PersonX move,0,0,0,0,0
PersonX want dinner,xReact,PersonX be hungry,0,1,1,1,0
PersonX be not do a job properly,xReact,PersonX be sack,0,0,0,1,0
PersonX be all stay,xReact,PersonX be go,0,0,0,0,0
PersonX be go to get that,xReact,PersonX deserve everything,1,0,0,1,0
PersonX be sick again,xReact,PersonX be,0,0,0,1,0
PersonX be good at it,xReact,PersonX say yeah,0,0,0,1,0
PersonX gae awa to bed,xReact,PersonX sit up,0,0,0,1,0
PersonX play PersonY 's favorite song,xReact,PersonX be good,1,1,1,1,0
PersonX pay the bill,xReact,PersonX leave,0,0,0,0,0
PersonX work PersonY way up,xReact,PersonX be happy,1,1,1,1,1
PersonX like spending time with PersonY,xReact,PersonX be more happy,1,1,1,1,1
PersonX wake up feeling,xReact,PersonX be a heavy sleeper,0,0,0,1,0
PersonX never occur to PersonY,xReact,PersonX be unaware,0,1,0,1,0
