0,0_label,1,1_label,2,2_label,3,3_label,4,4_label
"PersonX challenge PersonZ 's friend, thus, PersonY want PersonY not let",1,"PersonX be real, thus as an result, PersonY argue PersonZ about it",1,"PersonX turn down that, thus it can be seen about PersonX's attribute that PersonX get PersonY into trouble",0,"PersonX help the PersonY, thus as an result, PersonX be rebuff by PersonY",1,"PersonX stay away from PersonY, thus as an result, PersonX call out to PersonX",0
"PersonX steal it, thus as an result, PersonY see",1,"Because PersonX steal from PersonX, PersonY have something",1,"PersonX do it, thus as an result, PersonY find out PersonX",1,"PeopleX steal it from PeopleX, thus as an result, PersonX track something",0,"PersonX ride in that, thus as an result, PersonY steal something from PersonX",1
"PersonX be disobedient, thus, PersonY want PersonY do not find out",1,"PersonX try to ignore PersonY, thus, PersonX want to stop hang out with persony",1,"PersonX come near PersonY, thus, PersonY want to ignore PersonX",1,"PersonX continue wreak havoc, thus, PersonX want to keep away from PersonY",0,"PersonX decide to not be friend with PersonY anymore, thus, PersonX want to avoid PersonY",1
"PersonX want something back, thus it can be seen about PersonX's intention that PersonY get that",0,"PersonX implement PersonY program, thus, PersonY want to reap the benefit",1,"PersonX want to get it, thus as an result, PersonX use PersonY",0,"PersonX turn PersonY 's back to PersonY, thus it can be seen about PersonX's intention that PersonX intent to PeopleX need to collect there thing",0,"PersonX develop PersonX 's resource, thus as an result, PersonX look something for PersonY",0
"PersonX provide PersonY indication, thus as an result, PersonY must respond message indication",1,"PersonX ask it to PersonY, thus as an result, PersonY respond",1,"PersonX decide to call PersonY, thus as an result, PersonY receive the call",1,"PersonX send PersonY a message, thus as an result, PersonY respond to message",1,"PersonX call PersonY name, thus as an result, PeopleX get a reply",1
"PersonX ask PersonY do something, thus as an result, PersonY accept to do something",1,"PersonX want to do that, thus as an result, PersonX volunteer to do something",1,"PersonX rid PersonX 's skateboard, thus as an result, PersonY volunteer to help PersonX",0,"After PersonX stop think about PersonY, PersonX offer to help PersonY with issue",0,"PersonX lend PersonY a hand, thus it can be seen about PersonX's intention that PersonY to be help",1
"PersonX have to do the work, thus as an result, PersonX send PersonY packing",0,"PersonX have already leave for work, thus as an result, PersonY ssad",0,"PersonX be always work, thus as an result, PersonX decide to walk away",0,"PersonX have work, thus, PersonY want PersonX go to work",0,"PersonX leave, thus as an result, PersonX get fire from work",0
"PersonX look at PersonY, thus as an result, PersonY look back",1,"Because PersonX throw something on PersonY, PersonY look at it",0,"PersonX throw back PersonY 's head, thus as an result, PersonX get slap",1,"PersonX bang PersonY 's head, thus, PersonX want to see",1,"PersonX throw PersonY 's head back, thus, PersonY want PersonX tilt PersonY 's head slightly",0
"PersonX cancel PersonY 's trip, thus as an result, PersonY be frustrated",1,"PersonX cancel PersonY 's trip, thus as a result on PersonY's emotion, PeopleX can not go on trip",1,"PersonX cancel PersonY 's trip, thus it can be seen about PersonX's attribute that PersonX be disappointed",1,"PersonX send PersonY on way, thus as an result, PersonY stop",1,"PersonX hang out with PersonY, thus, PersonX want to stop travel",0
"PersonX receive a gift from PersonY, thus as an result, PersonX run back",0,"PersonX run away from PersonY, thus as an result, PersonY catch PersonX",1,"PersonY come back to life, thus as an result, PersonX run down it",0,"Because PersonX take off, PersonY run up to PersonX",0,"PersonX send PersonY home, thus as an result, PersonY chase",0
