0,0_label,1,1_label,2,2_label,3,3_label,4,4_label
"PersonX get PersonX 's claw out, thus it can be seen about PersonX's attribute that PersonX be aggressive",1,"PersonX open the closet door, thus it can be seen about PersonX's attribute that PersonX be interested",1,"PersonX find the key, thus it can be seen about PersonX's attribute that PersonX be aware",1,"PersonX produce PersonX effect, thus it can be seen about PersonX's attribute that PersonX be capable",1,"PersonX come, thus it can be seen about PersonX's attribute that PersonX be capable",1
"PersonX see a spider, thus it can be seen about PersonX's attribute that PersonX be afraid",1,"PersonX terrify of spider, thus it can be seen about PersonX's attribute that PersonX be scare",1,"PersonX feel disgusted by something, thus it can be seen about PersonX's attribute that PersonX be afraid of snake",0,"PersonX see a horror movie, thus it can be seen about PersonX's attribute that PersonX be apprehensive",1,"PersonX accidentally shoot, thus it can be seen about PersonX's attribute that PersonX be fearful",1
The event PersonX turn the water off will not happen unless PersonX get water,1,The event PersonX swim away will not happen unless PersonX go to sea,1,The event PersonX go snorkele will not happen unless PersonX go to sea,1,The event PersonX float down the river will not happen unless PersonX get the water,1,The event PersonX swim away will not happen unless PersonX go to pool,1
"PersonX make PersonY happy, thus it can be seen about PersonX's intention that PersonX treat PersonY nicely",1,"PersonX give PersonY pleasure, thus it can be seen about PersonX's intention that PersonX love",1,"PersonX be happy, thus it can be seen about PersonX's intention that PersonX like PersonY",1,"PersonX caress PersonY face, thus it can be seen about PersonX's intention that PersonX express admiration",1,"PersonX give PersonY the satisfaction, thus it can be seen about PersonX's intention that PeopleX feel better",1
"PersonX catch PersonY in act, thus as a result on PersonX's emotion, PersonX feel PersonX be to play a game",1,"PersonX invite PersonY to something, thus as a result on PersonX's emotion, PersonX enter the contest",0,"PersonX lose the race, thus as a result on PersonX's emotion, PersonX play with PeopleX",0,"PersonX grab PersonY stuff, thus as a result on PersonX's emotion, PersonX decide to try it",0,"PersonX play this game, thus as a result on PersonX's emotion, PersonY want to compare note on game",0
"PersonX decide to take a nap, thus as a result on PersonX's emotion, PersonX feel PersonX be well rest",1,"PersonX go to sleep, thus as a result on PersonX's emotion, PersonX feel restful",1,"PersonX go to sleep, thus as a result on PersonX's emotion, PersonX feel PersonX be restful",1,"PersonX go to sleep, thus as a result on PersonX's emotion, PersonX feel refresh",1,"PersonX become tired, thus as a result on PersonX's emotion, PersonX like rest",1
"PersonX invite PersonY to lunch, thus it can be seen about PersonX's attribute that PersonX spend some time",0,"PersonX eat lunch with PersonY, thus it can be seen about PersonX's attribute that PersonX be happy",1,"PersonX have lunch together, thus it can be seen about PersonX's attribute that PersonX be social",1,"PersonX invite PersonY, thus it can be seen about PersonX's attribute that PersonX be fun",1,"PersonX be entertainment, thus it can be seen about PersonX's attribute that PersonX eat with friend",0
"PersonX do not want to spend money, thus it can be seen about PersonX's intention that what it say",0,"PersonX look in that, thus it can be seen about PersonX's intention that PersonX want to save money",1,"PersonX have to buy another one, thus it can be seen about PersonX's intention that PersonX can not afford a new one",0,"PersonX need some extra cash, thus it can be seen about PersonX's intention that PersonX earn more",1,"PersonX want cash, thus it can be seen about PersonX's intention that PersonX be look for place",0
"PersonX get treatment, thus it can be seen about PersonX's intention that PersonX help with problem",1,"PersonX get PersonX medicine, thus it can be seen about PersonX's intention that PersonX get better",1,"PersonX receive that, thus it can be seen about PersonX's intention that PersonX see the doctor",0,"be owe a favor, thus it can be seen about PersonX's intention that PersonX get treatment",0,"PersonX decide, thus it can be seen about PersonX's intention that PersonX want health",1
"PersonX stare at that, thus as a result on PersonX's emotion, PersonX end up",0,"PersonX start to cry, thus as a result on PersonX's emotion, PersonX feel PersonX be manly",0,"PersonX make it for PersonX, thus as a result on PersonX's emotion, PersonX feel it",1,"PersonX enjoy himself, thus as a result on PersonX's emotion, PeopleX could see that",0,"PersonX see distant object, thus as a result on PersonX's emotion, PersonX lock eye",0
