head,relation,tail,label,modification,assertion
PersonX pries open,xAttr,PersonX tools,0,2,"PersonX pries open, thus it can be seen about PersonX's attribute that PersonX tools"
PersonX sees a snake,xAttr,PersonX be frightened,1,0,"PersonX sees a snake, thus it can be seen about PersonX's attribute that PersonX be frightened"
PersonX pulls ___ out of the water,xNeed,PersonX swim in the water,1,0,The event PersonX pulls ___ out of the water will not happen unless PersonX swim in the water
PersonX makes PersonY smile,xIntent,PersonX feel loved,0,2,"PersonX makes PersonY smile, thus it can be seen about PersonX's intention that PersonX feel loved"
PersonX can play with PersonY,xReact,PersonX decide to play a game,0,1,"PersonX can play with PersonY, thus as a result on PersonX's emotion, PersonX decide to play a game"
PersonX wants to sleep,xReact,PersonX feel more rested for the next day,1,0,"PersonX wants to sleep, thus as a result on PersonX's emotion, PersonX feel more rested for the next day"
PersonX meets PersonY for lunch,xAttr,PersonX be entertainment,1,0,"PersonX meets PersonY for lunch, thus it can be seen about PersonX's attribute that PersonX be entertainment"
PersonX does n't want to waste it,xIntent,PersonX make a budget,0,2,"PersonX does n't want to waste it, thus it can be seen about PersonX's intention that PersonX make a budget"
PersonX evaluates the patient 's ___,xIntent,PersonX intended to take care of the patient,1,0,"PersonX evaluates the patient 's ___, thus it can be seen about PersonX's intention that PersonX intended to take care of the patient"
PersonX looks like men,xReact,PersonX wear sunglasses,0,2,"PersonX looks like men, thus as a result on PersonX's emotion, PersonX wear sunglasses"
PersonX throws the ball,xIntent,PersonX intended to play catch,1,0,"PersonX throws the ball, thus it can be seen about PersonX's intention that PersonX intended to play catch"
PersonX throws PersonX's hat in the ring,xNeed,PersonX challenge someone to a fight,1,0,The event PersonX throws PersonX's hat in the ring will not happen unless PersonX challenge someone to a fight
PersonX looks like a fool,xReact,PersonX fall,0,2,"PersonX looks like a fool, thus as a result on PersonX's emotion, PersonX fall"
PersonX gets a manicure,xNeed,PersonX wait for the manicurist,1,0,The event PersonX gets a manicure will not happen unless PersonX wait for the manicurist
PersonX has trouble falling asleep,xNeed,PersonX be under covers,1,0,The event PersonX has trouble falling asleep will not happen unless PersonX be under covers
PersonX gets a call ___,xNeed,PersonX feel happy,0,1,The event PersonX gets a call ___ will not happen unless PersonX feel happy
PersonX asks the doctor,xNeed,PersonX be inquisitive,0,2,The event PersonX asks the doctor will not happen unless PersonX be inquisitive
PersonX goes about PersonX's work,xIntent,PersonX intended to finish their job,1,0,"PersonX goes about PersonX's work, thus it can be seen about PersonX's intention that PersonX intended to finish their job"
PersonX pays ___ late,xNeed,PersonX be stressed,0,2,The event PersonX pays ___ late will not happen unless PersonX be stressed
PersonX comes into PersonX's own,xNeed,PersonX feel independent,0,1,The event PersonX comes into PersonX's own will not happen unless PersonX feel independent
PersonX exceeds ___ in value,xAttr,PersonX be valuable,1,0,"PersonX exceeds ___ in value, thus it can be seen about PersonX's attribute that PersonX be valuable"
PersonX brings down the house,xNeed,PersonX intended to give a great performance,0,1,The event PersonX brings down the house will not happen unless PersonX intended to give a great performance
PersonX gives PersonY help,xAttr,PersonX feel helpful,0,2,"PersonX gives PersonY help, thus it can be seen about PersonX's attribute that PersonX feel helpful"
PersonX finds a good spot,xIntent,PersonX look for what they want,0,1,"PersonX finds a good spot, thus it can be seen about PersonX's intention that PersonX look for what they want"
PersonX stands on PersonX's head,oReact,PersonX intended to show off,0,1,"PersonX stands on PersonX's head, thus as a result on PersonY's emotion, PersonX intended to show off"
