0,0_label,1,1_label,2,2_label,3,3_label,4,4_label
"PersonX unlock the lock, thus it can be seen about PersonX's intention that PeopleX find it",0,"PersonX get PersonX 's claw out, thus it can be seen about PersonX's attribute that PersonX be aggressive",1,"PersonX give detail, thus, PersonX want to unlock that",0,"PersonX find, thus as an result, PersonX do that",1,"PersonX open the closet door, thus it can be seen about PersonX's attribute that PersonX be interested",1
"PersonX see a spider, thus it can be seen about PersonX's attribute that PersonX be afraid",1,"PersonX terrify of spider, thus it can be seen about PersonX's attribute that PersonX be scare",1,"PersonX feel disgusted by something, thus it can be seen about PersonX's attribute that PersonX be afraid of snake",0,"PersonX see a horror movie, thus it can be seen about PersonX's attribute that PersonX be apprehensive",1,"PersonX accidentally shoot, thus it can be seen about PersonX's attribute that PersonX be fearful",1
The event PersonX turn the water off will not happen unless PersonX get water,1,The event PersonX swim away will not happen unless PersonX go to sea,1,The event PersonX go snorkele will not happen unless PersonX go to sea,1,The event PersonX float down the river will not happen unless PersonX get the water,1,The event PersonX swim away will not happen unless PersonX go to pool,1
"PersonX make PersonY happy, thus it can be seen about PersonX's intention that PersonX treat PersonY nicely",1,"PersonX give PersonY pleasure, thus it can be seen about PersonX's intention that PersonX love",1,"PersonX make PersonY happy, thus it can be seen about PersonX's attribute that PersonX be friendly",1,"PersonX be happy, thus it can be seen about PersonX's intention that PersonX like PersonY",1,"PersonX make PersonY happy, thus, PersonX want to make smile",1
"PersonX catch PersonY in act, thus as a result on PersonX's emotion, PersonX feel PersonX be to play a game",1,"PersonX get PersonY ticket, thus as a result on PersonY's emotion, PeopleX play a game",0,"PersonX like play something, thus as an result, PersonX play something with PersonY",1,"PersonX invite PersonY to something, thus as a result on PersonX's emotion, PersonX enter the contest",0,"PersonX get PersonY 's ball, thus it can be seen about PersonX's intention that PersonX play a game",1
"PersonX need rest, thus, PersonX want to sleep",1,"PersonX decide to take a nap, thus as a result on PersonX's emotion, PersonX feel PersonX be well rest",1,"PersonX become tired, thus as an result, PersonX go to sleep",1,"PersonX feel very tired, thus as an result, PersonX fall into sleep",1,"PersonX be tire, thus as an result, PersonX sleep for time",1
"PersonX invite PersonY to lunch, thus it can be seen about PersonX's attribute that PersonX spend some time",0,"PersonX eat lunch with PersonY, thus it can be seen about PersonX's attribute that PersonX be happy",1,"PersonX have lunch together, thus it can be seen about PersonX's attribute that PersonX be social",1,"PersonX take PersonY out to lunch, thus it can be seen about PersonX's intention that PersonX spend time with persony",1,"PersonX invite PersonY, thus it can be seen about PersonX's attribute that PersonX be fun",1
"PersonX do not want to spend money, thus it can be seen about PersonX's intention that what it say",0,"PersonX block the path, thus, PersonX want to use the money wisely",0,"PersonX look in that, thus it can be seen about PersonX's intention that PersonX want to save money",1,"PersonX do not want, thus, PersonX want to save money for it",0,"PersonX have to buy another one, thus it can be seen about PersonX's intention that PersonX can not afford a new one",0
"PersonX get treatment, thus it can be seen about PersonX's intention that PersonX help with problem",1,"PersonX get PersonX medicine, thus it can be seen about PersonX's intention that PersonX get better",1,"PersonX receive that, thus it can be seen about PersonX's intention that PersonX see the doctor",0,"PersonX be diagnose, thus as an result, PersonX get treatment",1,"be owe a favor, thus it can be seen about PersonX's intention that PersonX get treatment",0
"PersonX be deep in thought, thus it can be seen about PersonX's attribute that PersonX almost cry",0,"PersonX stare at that, thus as a result on PersonX's emotion, PersonX end up",0,"PersonX start to cry, thus as a result on PersonX's emotion, PersonX feel PersonX be manly",0,"PersonX look for that, thus it can be seen about PersonX's attribute that PersonX feel something",1,"PersonX make it for PersonX, thus as a result on PersonX's emotion, PersonX feel it",1
